Site,Phase,Pi_F,NSE,Px50,S_star,Rain
AU-DaP,LaNina,1.4579263565280267,0.9794797957896504,-6.954135427643164,0.3903396369036538,3516.2432906370163
AU-Gre,LaNina,4.646336187294161,0.6785217251583615,-9.185125876178612,0.24786772614271824,288.9934084102137
AU-Boy,LaNina,0.5552204641625309,0.7865623317362125,-8.890548585931503,0.09162210926484318,578.23975776176
AU-Gin,ElNino,5.879507869319631,0.8596232329143957,-3.7350681649361666,0.27567708171868627,578.7700400801598
AU-Ctr,LaNina,0.01144653190036074,-0.11877301814210073,-8.786784410314823,0.3950189248011562,7349.677316293927
AU-Otw,LaNina,0.14249564244816026,0.9615583292078956,-9.427752125485666,0.21255819356687064,791.2764900662241
AU-Stp,ElNino,1.6155776488322737,0.43364961186952,-5.916995120668593,0.20535464783433946,1188.5463551986747
AU-Stp,LaNina,5.527085828754328,0.9097648026251125,-1.8716099443872667,0.3350515892205591,947.3687137243943
AU-SiP,LaNina,0.8143140967534701,0.8734006051609489,-6.1870584094792385,0.4136092851961709,772.1208576998044
AU-Lit,LaNina,0.12530913558904452,0.9805954555776206,-9.392530142418979,0.268077572916848,1725.454541306816
AU-Cow,ElNino,0.006496158401264649,-0.4802040999051307,-9.787828838820683,0.36541099280354333,3250.0775540225927
AU-YarI,LaNina,0.03396762021777687,0.06835922933881455,-9.595165283118815,0.03729038040154969,1246.9367469879508
AU-Lit,ElNino,0.33268414064844404,0.9506694313944569,-6.754634508604616,0.3048366476603116,1375.7279358088233
AU-Gre,ElNino,4.6415070493601345,0.5018953787302298,-7.05427987408756,0.2392701683464279,179.38759689922452
AU-Col,ElNino,0.05173864568085435,0.907516208995121,-9.988090765653924,0.2841036581909374,652.3175227328545
AU-Tum,ElNino,0.7809946094411037,0.9856057616809286,-6.894799617770099,0.36315828460111915,571.2885814397588
AU-Ync,ElNino,1.3716135471674051,0.9570958252852386,-4.883733463117212,0.3433879393272607,558.9509803921569
AU-DaS,LaNina,3.44395559726961,0.9942758889783481,-6.6987301548834095,0.369423916898505,1499.333522148759
AU-Ync,LaNina,5.420603506180901,0.6397044197454227,-7.525084202974456,0.22893539472249472,423.1477927063339
AU-Adr,LaNina,3.107120661296467,0.9369899647353622,-5.132705839479706,0.5164531505288349,2006.5309734513246
AU-DaS,ElNino,2.9865852479726196,0.984361855961977,-6.987449637066518,0.36125306987494105,1382.9542159879504
AU-Tum,LaNina,0.5836643174783028,0.8285581191138023,-9.784653892409382,0.32778309655181204,603.319037656903
AU-Gin,LaNina,4.001865162373207,0.9553500341811673,-6.565742807805161,0.3216368781175925,723.3473206616641
AU-Ctr,ElNino,0.037490949785036476,-1.6518441797974472,-6.280841207435994,0.48173967173928844,3216.624874779612
