siteID,original_site,lat,lon,Climate,pft_0,pft,IGBP
AU-Dig,DigbyPlantation,-37.88269432,141.61647,Te,BL,BF-te,EBF
AU-Gat,GatumPasture,-37.390035,141.9608954,Te,H,G-C3,GRA
AU-Otw,Otway,-38.52500107,142.8099974,Te,H,G-C3,SAV
AU-SiP,SilverPlains,-42.09055624,147.0874927,Te,H,G-C3,WSA
AU-Eme,Emerald,-23.85871895,148.4745941,Ar,H,G-C4,GRA
AU-Alp,AlpinePeatland,-36.86222012,147.320833,Bo,H,G-C3,ENF
AU-Rig,RiggsCreek,-36.65600008,145.5760045,Te,H,G-C3,GRA
AU-YarC,YarramundiControl,-33.61347071,150.7348634,Te,H,G-C3,SAV
AU-YarI,YarramundiIrrigated,-33.62081039,150.7632857,Te,H,G-C3,GRA
AU-Ync,Yanco,-34.98780132,146.2908029,Ar,H,G-C3,GRA
AU-DaP,DalyPasture,-14.06330018,131.3181003,Tr,H,G-C3,GRA
AU-Fog,FoggDam,-12.54519923,131.3072067,Tr,H,G-C3,GRA
AU-Stp,SturtPlains,-17.15070149,133.3502063,Ar,H,G-C4,GRA
AU-Wal,WallabyCreek,-37.42589955,145.1878041,Te,BL,BF-te,EBF
AU-Col,Collie,-33.41999923,116.2370014,Te,M,BF-te,WSA
AU-Boy,Boyagin,-32.4770911,116.9385606,Te,M,BF-te,GRA
AU-Adr,AdelaideRiver,-13.07689798,131.1177975,Tr,M,BF-tr,GRA
AU-DaS,DalyUncleared,-14.15919761,131.3881082,Tr,M,BF-tr,OSH
AU-How,HowardSprings,-12.49519933,131.1500546,Tr,M,BF-tr,SAV
AU-Lit,Litchfield,-13.17904261,130.7945438,Tr,M,BF-tr,SAV
AU-Gre,GreatWesternWoodlands,-30.19140049,120.6541646,Ar,M,BF-te,SAV
AU-Rgf,Ridgefield,-32.50610201,116.9668269,Te,H,G-C3,CRO
AU-Cum,CumberlandPlain,-33.61527664,150.7236131,Te,BL,BF-te,EBF
AU-Ctr,CapeTribulation,-16.10321852,145.4469225,Tr,BL,BF-tr,EBF
AU-Cow,CowBay,-16.23819105,145.4271553,Tr,BL,BF-tr,EBF
AU-Whr,Whroo,-36.67319883,145.0294035,Ar,M,BF-te,WSA
AU-Rob,RobsonCreek,-17.11746781,145.630138,Tr,BL,BF-tr,EBF
AU-Tum,Tumbarumba,-35.6565996,148.1515947,Te,BL,BF-te,ENF
AU-Lox,Loxton,-34.4703494,140.655119,Ar,H,G-C3,GRA
AU-War,Warra,-43.09502226,146.6545184,Te,BL,BF-te,EBF
AU-ASM,AliceSpringsMulga,-22.28300195,133.2489936,Ar,M,BF-te,CSH
AU-TTE,TiTreeEast,-22.287,133.64,Ar,M,BF-te,CSH
AU-Gin,Gingin,-31.37635309,115.713766,Te,M,BF-te,SAV
AU-RDF,RedDirtMelonFarm,-14.56363808,132.4775691,Tr,M,BF-tr,GRA
