siteID,original_site,lat,lon,soil_tex_id,Soil_TEX,swc_i,Zm
AU-Dig,DigbyPlantation,-37.88269,141.61647,7,SANDY CLAY LOAM,Sws,-0.3
AU-Gat,GatumPasture,-37.39004,141.9609,7,SANDY CLAY LOAM,Sws,-0.05
AU-Otw,Otway,-38.525,142.81,7,SANDY CLAY LOAM,Sws,-0.075
AU-SiP,SilverPlains,-42.09056,147.08749,7,SANDY CLAY LOAM,Sws,-0.1
AU-Eme,Emerald,-23.85872,148.47459,7,SANDY CLAY LOAM,Sws,-0.15
AU-Alp,AlpinePeatland,-36.86222,147.32083,7,SANDY CLAY LOAM,Sws,-0.05
AU-Rig,RiggsCreek,-36.656,145.576,7,SANDY CLAY LOAM,Sws,-0.05
AU-YarC,YarramundiControl,-33.61347,150.73486,7,SANDY CLAY LOAM,Sws,-0.1
AU-YarI,YarramundiIrrigated,-33.62081,150.76329,7,SANDY CLAY LOAM,Sws,-0.1
AU-Ync,Yanco,-34.9878,146.2908,10,SANDY CLAY,Sws,-0.1
AU-DaP,DalyPasture,-14.0633,131.3181,2,LOAMY SAND,Sws,-0.05
AU-Fog,FoggDam,-12.5452,131.30721,7,SANDY CLAY LOAM,Sws,-0.1
AU-Stp,SturtPlains,-17.1507,133.35021,7,SANDY CLAY LOAM,Sws,-0.05
AU-Wal,WallabyCreek,-37.4259,145.1878,12,CLAY,Sws_40cma,-0.4
AU-Col,Collie,-33.42,116.237,2,LOAMY SAND,Sws_30cm,-0.3
AU-Boy,Boyagin,-32.47709,116.93856,3,SANDY LOAM,"Sws_40cm_N, Sws_40cm_S",-0.4
AU-Adr,AdelaideRiver,-13.0769,131.1178,3,SANDY LOAM,Sws,-0.05
AU-DaS,DalyUncleared,-14.1592,131.38811,1,SAND,Sws,-0.05
AU-How,HowardSprings,-12.4952,131.15005,7,SANDY CLAY LOAM,"Sws_40cm , Sws_40cma",-0.4
AU-Lit,Litchfield,-13.17904,130.79454,7,SANDY CLAY LOAM,"Sws_20cma, Sws_20cmb",-0.2
AU-Gre,GreatWesternWoodlands,-30.1914,120.65416,3,SANDY LOAM,Sws,-0.1
AU-Rgf,Ridgefield,-32.5061,116.96683,2,LOAMY SAND,Sws,-0.05
AU-Cum,CumberlandPlain,-33.61528,150.72361,7,SANDY CLAY LOAM,"Sws_20cm, Sws_20cma,Sws_20cmb",-0.2
AU-Ctr,CapeTribulation,-16.10322,145.44692,7,SANDY CLAY LOAM,Sws ,-0.1
AU-Cow,CowBay,-16.23819,145.42716,7,SANDY CLAY LOAM,Sws,-0.15
AU-Whr,Whroo,-36.6732,145.0294,7,SANDY CLAY LOAM,Sws,-0.1
AU-Rob,RobsonCreek,-17.11747,145.63014,7,SANDY CLAY LOAM,Sws,-0.15
AU-Tum,Tumbarumba,-35.6566,148.15159,9,CLAY LOAM,Sws,-0.3
AU-Lox,Loxton,-34.47035,140.65512,3,SANDY LOAM,Sws_045,-0.45
AU-War,Warra,-43.09502,146.65452,12,CLAY,Sws,-0.3
AU-ASM,AliceSpringsMulga,-22.283,133.24899,3,SANDY LOAM,Sws,-0.1
AU-TTE,TiTreeEast,-22.287,133.64,3,SANDY LOAM,Sws,-0.1
AU-Gin,Gingin,-31.37635,115.71377,2,LOAMY SAND,Sws,-0.3
AU-RDF,RedDirtMelonFarm,-14.56364,132.47757,2,LOAMY SAND,Sws,-0.05
