siteID,original_site,lat,lon,nc_file_path
AU-Dig,DigbyPlantation,-37.88269,141.61647,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/DigbyPlantation_L6.nc
AU-Gat,GatumPasture,-37.39004,141.9609,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/GatumPasture_L6.nc
AU-Otw,Otway,-38.525,142.81,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Otway_L6.nc
AU-SiP,SilverPlains,-42.09056,147.08749,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/SilverPlains_L6.nc
AU-Eme,Emerald,-23.85872,148.47459,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Emerald_L6.nc
AU-Alp,AlpinePeatland,-36.86222,147.32083,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/AlpinePeatland_L6.nc
AU-Rig,RiggsCreek,-36.656,145.576,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/RiggsCreek_L6.nc
AU-YarC,YarramundiControl,-33.61347,150.73486,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/YarramundiControl_L6.nc
AU-YarI,YarramundiIrrigated,-33.62081,150.76329,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/YarramundiIrrigated_L6.nc
AU-Ync,Yanco,-34.9878,146.2908,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Yanco_L6.nc
AU-DaP,DalyPasture,-14.0633,131.3181,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/DalyPasture_L6.nc
AU-Fog,FoggDam,-12.5452,131.30721,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/FoggDam_L6.nc
AU-Stp,SturtPlains,-17.1507,133.35021,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/SturtPlains_L6.nc
AU-Wal,WallabyCreek,-37.4259,145.1878,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/WallabyCreek_L6.nc
AU-Col,Collie,-33.42,116.237,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Collie_L6.nc
AU-Boy,Boyagin,-32.47709,116.93856,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Boyagin_L6.nc
AU-Adr,AdelaideRiver,-13.0769,131.1178,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/AdelaideRiver_L6.nc
AU-DaS,DalyUncleared,-14.1592,131.38811,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/DalyUncleared_L6.nc
AU-How,HowardSprings,-12.4952,131.15005,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/HowardSprings_L6.nc
AU-Lit,Litchfield,-13.17904,130.79454,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Litchfield_L6.nc
AU-Gre,GreatWesternWoodlands,-30.1914,120.65416,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/GreatWesternWoodlands_L6.nc
AU-Rgf,Ridgefield,-32.5061,116.96683,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Ridgefield_L6.nc
AU-Cum,CumberlandPlain,-33.61528,150.72361,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/CumberlandPlain_L6.nc
AU-Ctr,CapeTribulation,-16.10322,145.44692,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/CapeTribulation_L6.nc
AU-Cow,CowBay,-16.23819,145.42716,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/CowBay_L6.nc
AU-Whr,Whroo,-36.6732,145.0294,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Whroo_L6.nc
AU-Rob,RobsonCreek,-17.11747,145.63014,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/RobsonCreek_L6.nc
AU-Tum,Tumbarumba,-35.6566,148.15159,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Tumbarumba_L6.nc
AU-Lox,Loxton,-34.47035,140.65512,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Loxton_L6.nc
AU-War,Warra,-43.09502,146.65452,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Warra_L6.nc
AU-ASM,AliceSpringsMulga,-22.283,133.24899,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/AliceSpringsMulga1_L6.nc
AU-TTE,TiTreeEast,-22.287,133.64,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/TiTreeEast_L6.nc
AU-Gin,Gingin,-31.37635,115.71377,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Gingin_L6.nc
AU-RDF,RedDirtMelonFarm,-14.56364,132.47757,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/RedDirtMelonFarm_L6.nc
